========== Evaluation Results ==========
Model: WebNLG00
Dataset: WebNLG_star
==================================================

Detailed Results:
--------------------------------------------------
  test: F1=0.943120, Precision=0.947637, Recall=0.938646
     1: F1=0.916981, Precision=0.920455, Recall=0.913534
     2: F1=0.933921, Precision=0.932551, Recall=0.935294
     3: F1=0.954839, Precision=0.958549, Recall=0.951157
     4: F1=0.959327, Precision=0.960674, Recall=0.957983
     5: F1=0.944072, Precision=0.967890, Recall=0.921397
   epo: F1=0.965517, Precision=0.976744, Recall=0.954545
normal: F1=0.918699, Precision=0.914980, Recall=0.922449
   seo: F1=0.946774, Precision=0.952149, Recall=0.941460

==================================================
